Date;Close (PETR4);Close (VALE5)
03/10/2011;20,94;40,73
01/09/2011;19,1;39,23
01/08/2011;20,8;40,65
01/07/2011;23,5;45,61
01/06/2011;23,72;44,64
02/05/2011;24,09;44,84
01/04/2011;25,6;46,07
01/03/2011;28,51;47,39
01/02/2011;28,58;49,6
03/01/2011;27,09;50,99
01/12/2010;27,29;48,5
01/11/2010;24,59;48
01/10/2010;25,71;47,75
01/09/2010;27,35;46,3
02/08/2010;25,92;41,43
01/07/2010;27,5;42,67
01/06/2010;26,53;37,91
03/05/2010;29,23;42,88
01/04/2010;32,16;46,53
01/03/2010;34,57;49,55
01/02/2010;33,81;44,45
04/01/2010;33,38;42,14
01/12/2009;35,84;42,2
03/11/2009;37,7;42,37
01/10/2009;34,04;39,45
01/09/2009;33,81;36,6
03/08/2009;30,31;32,9
01/07/2009;30,4;32,4
01/06/2009;31,04;29,85
04/05/2009;32,96;32,5
01/04/2009;28,26;30,48
02/03/2009;26,99;26,75
02/02/2009;24,96;26,83
02/01/2009;23,66;28,01
01/12/2008;21,59;23,89
03/11/2008;18,93;24,51
01/10/2008;22;25,4
01/09/2008;33,12;32,71
01/08/2008;32,93;38
01/07/2008;33,88;40,85
02/06/2008;43,61;47,7
02/05/2008;46,24;54,36
01/04/2008;39,82;53,59
03/03/2008;34,77;50,79
01/02/2008;38,28;49,86
01/01/2008;37,79;44,77
03/12/2007;41,39;50,75
01/11/2007;33,66;52,15
01/10/2007;33,72;54,65
03/09/2007;27,27;52,03
01/08/2007;24,04;20,23
02/07/2007;23,75;19,74
01/06/2007;23,27;18,06
01/05/2007;20,7;18,3
02/04/2007;20,37;17,52
01/03/2007;20,46;16,05
01/02/2007;19,01;15,56
01/01/2007;20,78;14,95
01/12/2006;21,68;13,48
01/11/2006;19,96;12,6
02/10/2006;17,85;11,5
01/09/2006;16,85;10,05
01/08/2006;17,85;9,92
03/07/2006;18,64;10,79
01/06/2006;17,93;10,98
01/05/2006;18,27;10,97
03/04/2006;19,19;5,76
01/03/2006;17,91;5,83
01/02/2006;14,36;5,63
02/01/2006;15,09;6,09
01/12/2005;11,95;5,22
01/11/2005;11;5,23
03/10/2005;10,34;5,16
01/09/2005;11,45;5,41
01/08/2005;10,44;4,41
01/07/2005;8,75;4,16
01/06/2005;8,61;3,69
02/05/2005;8,07;3,7
01/04/2005;7,59;3,64
01/03/2005;8,28;4,44
01/02/2005;8,93;4,61
03/01/2005;7,49;4,08
01/12/2004;7,8;3,97
01/11/2004;7,46;3,46
01/10/2004;7,5;3,22
01/09/2004;7,53;3,39
02/08/2004;6,58;2,96
01/07/2004;6,27;8,27
01/06/2004;6,21;7,45
03/05/2004;5,76;8,35
01/04/2004;6;7,05
01/03/2004;6,86;8,44
02/02/2004;6,58;9,03
01/01/2004;6,28;8,58
01/12/2003;6,13;9,1
03/11/2003;5,37;7,07
01/10/2003;5,06;7,1
01/09/2003;4,87;6,46
01/08/2003;4,88;6,28
01/07/2003;4,53;5,83
02/06/2003;4,09;4,89
01/05/2003;4,24;5,14
01/04/2003;4,01;4,79
03/03/2003;3,72;5,42
03/02/2003;3,43;6,06
01/01/2003;3,81;5,68
