time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-29T13:15:01.850Z,31.8016667,-116.0971667,13.16,2.72,ml,9,132,0.239,0.1,ci,ci37752752,2016-11-29T13:18:24.889Z,"45km ENE of Maneadero, B.C., MX",earthquake,0.29,0.79,0.149,25,automatic,ci,ci
2016-11-29T12:59:36.520Z,33.1765,-116.4133333,3.14,2.49,ml,77,29,0.09151,0.18,ci,ci37752744,2016-11-29T13:10:14.840Z,"10km SSW of Borrego Springs, CA",earthquake,0.18,0.91,0.238,25,automatic,ci,ci
2016-11-29T12:44:07.220Z,33.038,-115.9163333,2.45,1.16,ml,16,70,0.1109,0.28,ci,ci37752736,2016-11-29T12:47:43.014Z,"23km ESE of Ocotillo Wells, CA",earthquake,0.48,0.92,0.131,18,automatic,ci,ci
2016-11-29T12:04:34.740Z,37.6248322,-118.8623352,1.11,1.01,md,9,85,0.005851,0.01,nc,nc72730780,2016-11-29T12:19:02.524Z,"10km ESE of Mammoth Lakes, California",earthquake,0.38,0.77,0.19,9,automatic,nc,nc
2016-11-29T11:27:23.390Z,38.845665,-122.8278351,1.86,1.06,md,13,87,0.009254,0.05,nc,nc72730775,2016-11-29T11:29:00.089Z,"9km WNW of Cobb, California",earthquake,0.28,0.66,0.08,3,automatic,nc,nc
2016-11-29T11:11:41.560Z,36.1298333,-117.8816667,24.94,1.84,ml,15,161,0.1407,0.33,ci,ci37752728,2016-11-29T11:15:26.163Z,"11km NNE of Coso Junction, CA",earthquake,1.02,2.55,0.312,26,automatic,ci,ci
2016-11-29T11:11:35.820Z,35.7561667,-118.3223333,5.56,1.84,ml,7,229,0.08873,0.18,ci,ci37752720,2016-11-29T11:15:08.884Z,"9km E of Kernville, CA",earthquake,1.94,31.61,0.377,21,automatic,ci,ci
2016-11-29T11:06:51.360Z,38.8043327,-122.7419968,1.45,1.12,md,16,121,0.01519,0.03,nc,nc72730755,2016-11-29T11:22:02.377Z,"2km SW of Cobb, California",earthquake,0.33,0.48,0.18,4,automatic,nc,nc
2016-11-29T11:04:43.920Z,40.7165,-112.0681667,9.68,2.37,ml,21,50,0.07524,0.17,uu,uu60172332,2016-11-29T11:31:34.410Z,"2km ENE of Magna, Utah",earthquake,0.34,1.08,0.121,9,reviewed,uu,uu
2016-11-29T11:04:17.620Z,40.7261667,-112.0691667,8.33,2.15,ml,35,43,0.08324,0.18,uu,uu60172327,2016-11-29T11:24:21.980Z,"3km NE of Magna, Utah",earthquake,0.28,0.75,0.187,11,reviewed,uu,uu
2016-11-29T11:00:02.260Z,35.4028333,-118.2116667,5.81,2.4,ml,36,55,0.1456,0.13,ci,ci37752712,2016-11-29T11:10:39.490Z,"33km SE of Bodfish, CA",earthquake,0.2,1.06,0.217,26,automatic,ci,ci
2016-11-29T10:30:27.470Z,38.7996674,-122.7223358,1.76,1.19,md,7,194,0.008748,0.02,nc,nc72730740,2016-11-29T10:46:02.279Z,"2km S of Cobb, California",earthquake,0.6,0.87,0.09,3,automatic,nc,nc
2016-11-29T10:06:42.770Z,34.3293333,-118.3435,5.22,1.23,ml,28,91,0.07604,0.17,ci,ci37752560,2016-11-29T10:10:13.000Z,"6km NNE of Lake View Terrace, CA",earthquake,0.3,0.69,0.17,30,automatic,ci,ci
2016-11-29T10:00:46.720Z,35.6721649,-89.7764969,14.14,2.42,md,17,115,0.352,0.37,nm,nm60140392,2016-11-29T10:05:38.890Z,"16km NW of Covington, Tennessee",earthquake,1.31,2.19,0.26,14,reviewed,nm,nm
2016-11-29T09:39:15.200Z,18.9643,-65.2658,28,2.5,Md,6,280.8,0.6521769,0.18,pr,pr16334009,2016-11-29T12:47:18.911Z,"73km N of Culebra, Puerto Rico",earthquake,2.1,12.5,0,5,reviewed,pr,pr
2016-11-29T09:38:10.048Z,63.5624,-151.0478,4.1,1.7,ml,,,,0.54,ak,ak14483807,2016-11-29T09:51:12.900Z,"106km WNW of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2016-11-29T09:31:01.200Z,19.1683,-64.6741,36,2.5,Md,7,313.2,0.83633153,0.25,pr,pr16334008,2016-11-29T12:33:43.085Z,"83km N of Road Town, British Virgin Islands",earthquake,4.5,16.7,0,3,reviewed,pr,pr
2016-11-29T09:25:40.080Z,38.6998329,-122.7939987,10.21,2.2,md,4,197,0.06547,0.09,nc,nc72730720,2016-11-29T09:30:02.087Z,"9km SSW of The Geysers, California",earthquake,4.83,8.49,,1,automatic,nc,nc
2016-11-29T09:25:26.200Z,19.0305,-64.7289,87,2.9,Md,5,306,0.69619435,0.23,pr,pr16334007,2016-11-29T11:54:20.911Z,"68km N of Road Town, British Virgin Islands",earthquake,7.4,7.1,0,3,reviewed,pr,pr
2016-11-29T09:01:38.995Z,61.4844,-150.0033,31.5,1.6,ml,,,,0.34,ak,ak14483801,2016-11-29T09:16:09.498Z,"4km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2016-11-29T08:54:18.800Z,-17.9225,-178.4025,582.71,4.7,mb,,89,3.381,1.21,us,us10007d35,2016-11-29T09:13:02.040Z,"288km SE of Lambasa, Fiji",earthquake,9,8.9,0.067,67,reviewed,us,us
2016-11-29T07:40:52.520Z,38.3857,-118.8912,19.3,1.7,ml,8,95.34,0.331,,nn,nn00567976,2016-11-29T07:42:17.510Z,"27km WSW of Hawthorne, Nevada",earthquake,,,,,automatic,nn,nn
2016-11-29T07:26:57.510Z,38.815834,-122.8123322,2.82,1.91,md,33,78,0.007753,0.03,nc,nc72730710,2016-11-29T07:55:01.900Z,"6km NW of The Geysers, California",earthquake,0.21,0.38,0.17,10,automatic,nc,nc
2016-11-29T07:18:05.200Z,36.0825005,-120.6725006,5.1,1.6,md,10,159,0.04961,0.09,nc,nc72730700,2016-11-29T07:33:02.861Z,"28km WSW of Coalinga, California",earthquake,1.13,1.21,0.48,5,automatic,nc,nc
2016-11-29T07:09:24.300Z,50.4155,-176.2375,20.15,4.7,mb,,138,1.495,0.75,us,us10007d2m,2016-11-29T07:43:16.147Z,"165km S of Adak, Alaska",earthquake,9,5.1,0.04,188,reviewed,us,us
2016-11-29T07:02:06.750Z,29.7298,-42.6917,10,4.8,mb,,152,14.925,0.71,us,us10007d2l,2016-11-29T08:39:02.040Z,"Northern Mid-Atlantic Ridge",earthquake,6.5,1.9,0.094,35,reviewed,us,us
2016-11-29T07:00:38.775Z,36.0265,-114.859,0,1.9,ml,23,185.08,0.206,,nn,nn00567973,2016-11-29T07:02:29.485Z,"5km NNW of Boulder City, Nevada",earthquake,,,0.35,11,automatic,nn,nn
2016-11-29T06:46:13.763Z,57.6068,-154.9564,74,2.4,ml,,,,0.2,ak,ak14481575,2016-11-29T06:52:07.721Z,"58km W of Larsen Bay, Alaska",earthquake,,1.6,,,automatic,ak,ak
2016-11-29T06:43:58.780Z,37.8284988,-122.046669,8.73,1.61,md,24,46,0.05241,0.06,nc,nc72730690,2016-11-29T07:00:03.797Z,"2km SSW of Alamo, California",earthquake,0.26,0.55,0.12,21,automatic,nc,nc
2016-11-29T06:36:10.300Z,19.2695,-64.9984,30,3.1,Md,7,309.6,0.99263839,0.41,pr,pr16334005,2016-11-29T08:15:53.601Z,"102km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.9,29.6,0,6,reviewed,pr,pr
2016-11-29T06:34:26.500Z,19.148,-64.7229,24,2,Md,4,324,0.81297533,0.31,pr,pr16334006,2016-11-29T08:16:49.762Z,"81km N of Road Town, British Virgin Islands",earthquake,2.7,27.6,0,3,reviewed,pr,pr
2016-11-29T06:21:43.070Z,38.8296661,-122.8485031,1.32,1.07,md,14,56,0.006872,0.02,nc,nc72730685,2016-11-29T06:46:01.764Z,"9km NW of The Geysers, California",earthquake,0.24,0.53,0.12,4,automatic,nc,nc
2016-11-29T06:21:29.951Z,63.0941,-151.5179,10.8,1.6,ml,,,,0.56,ak,ak14481572,2016-11-29T06:32:58.033Z,"112km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2016-11-29T06:18:09.600Z,19.0797,-64.7492,24,2.3,Md,3,320.4,0.74470337,0.2,pr,pr16334004,2016-11-29T08:15:13.469Z,"74km N of Road Town, British Virgin Islands",earthquake,1.9,18.1,0,2,reviewed,pr,pr
2016-11-29T06:10:23.360Z,38.8308334,-122.8485031,0.63,1.36,md,16,101,0.01278,0.03,nc,nc72730680,2016-11-29T06:35:01.745Z,"9km NW of The Geysers, California",earthquake,0.21,0.58,0.11,6,automatic,nc,nc
